Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2024,RS,5,42,454,RED,P006436,"GIEDRAITIS, ROKAS",2FGA,Missed Two Pointer,0,94,294,E,0,0,0,30,00:40,69,52,20241024201531
2024,RS,5,42,465,MAD,P006540,"MUSA, DZANAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,30,00:39,70,52,20241024201746
2024,RS,5,42,466,MAD,P006540,"MUSA, DZANAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,30,00:39,71,52,20241024201759
2024,RS,5,42,467,RED,P012786,"DAUM, MIKE",FTM,Free Throw In,1,-1,-1, ,0,0,0,30,00:39,71,53,20241024201822
2024,RS,5,42,468,RED,P012786,"DAUM, MIKE",FTM,Free Throw In,1,-1,-1, ,0,0,0,30,00:39,71,54,20241024201830
2024,RS,5,42,471,RED,P004866,"KALINIC, NIKOLA",3FGA,Missed Three Pointer,0,87,796,I,0,0,0,30,00:35,71,54,20241024201856
2024,RS,5,42,473,MAD,P003108,"HEZONJA, MARIO",3FGA,Missed Three Pointer,0,627,457,I,0,0,0,30,00:18,71,54,20241024201914
2024,RS,5,42,475,RED,P012044,"DOS SANTOS, YAGO",2FGA,Missed Two Pointer,0,207,75,C,0,0,0,30,00:00,71,54,20241024201932
2024,RS,5,42,487,RED,P004007,"DOBRIC, OGNJEN",2FGA,Missed Two Pointer,0,-18,219,B,0,0,0,31,09:47,71,54,20241024202200
2024,RS,5,42,489,MAD,P003583,"IBAKA, SERGE",2FGA,Missed Two Pointer,0,250,138,E,0,0,0,31,09:29,71,54,20241024202217
2024,RS,5,42,491,RED,P012044,"DOS SANTOS, YAGO",2FGA,Missed Two Pointer,0,31,169,C,0,0,0,31,09:20,71,54,20241024202227
2024,RS,5,42,495,MAD,P006540,"MUSA, DZANAN",3FGM,Three Pointer,3,426,721,I,0,0,0,31,09:05,74,54,20241024202243
2024,RS,5,42,501,RED,P006240,"PLAVSIC, UROS",2FGM,Two Pointer,2,12,12,A,0,0,0,32,08:53,74,56,20241024202442
2024,RS,5,42,505,RED,P006240,"PLAVSIC, UROS",FTM,Free Throw In,1,-1,-1, ,0,0,0,32,08:53,74,57,20241024202725
2024,RS,5,42,508,MAD,P003583,"IBAKA, SERGE",FTM,Free Throw In,1,-1,-1, ,0,0,0,32,08:41,75,57,20241024202811
2024,RS,5,42,510,MAD,P003583,"IBAKA, SERGE",FTM,Free Throw In,1,-1,-1, ,0,0,0,32,08:41,76,57,20241024202829
2024,RS,5,42,513,RED,P006240,"PLAVSIC, UROS",2FGA,Missed Two Pointer,0,100,169,C,0,0,0,32,08:20,76,57,20241024202908
2024,RS,5,42,522,RED,P006240,"PLAVSIC, UROS",2FGA,Missed Two Pointer,0,-87,200,B,0,0,0,32,08:04,76,57,20241024203005
2024,RS,5,42,528,MAD,P006540,"MUSA, DZANAN",2FGA,Missed Two Pointer,0,-100,131,B,0,0,0,33,07:24,76,57,20241024203039
2024,RS,5,42,537,MAD,P013378,"RATHAN-MAYES, XAVIER",FTM,Free Throw In,1,-1,-1, ,0,0,1,33,07:24,77,57,20241024203148
2024,RS,5,42,538,MAD,P013378,"RATHAN-MAYES, XAVIER",FTM,Free Throw In,1,-1,-1, ,0,0,1,33,07:18,78,57,20241024203202
2024,RS,5,42,545,MAD,P009005,"DECK, GABRIEL",3FGM,Three Pointer,3,-577,589,H,0,0,1,34,06:40,81,57,20241024203311
2024,RS,5,42,547,RED,P012044,"DOS SANTOS, YAGO",3FGA,Missed Three Pointer,0,-489,759,H,0,0,0,34,06:21,81,57,20241024203329
